Date,Item,Quantity Sold,Revenue
2023-01-01,Item B,39,585.0
2023-01-01,Item C,4,80.0
2023-01-01,Item D,39,975.0
2023-01-02,Item A,28,280.0
2023-01-02,Item B,6,90.0
2023-01-02,Item C,19,380.0
2023-01-02,Item E,48,1440.0
2023-01-03,Item B,39,585.0
2023-01-03,Item C,15,300.0
2023-01-03,Item D,46,1150.0
2023-01-03,Item E,45,1350.0
2023-01-04,Item A,16,160.0
2023-01-04,Item C,45,900.0
2023-01-04,Item D,41,1025.0
2023-01-04,Item E,13,390.0
2023-01-05,Item A,36,360.0
2023-01-05,Item D,8,200.0
2023-01-05,Item E,47,1410.0
2023-01-06,Item C,47,940.0
2023-01-06,Item D,39,975.0
2023-01-07,Item A,7,70.0
2023-01-07,Item B,8,120.0
2023-01-08,Item B,17,255.0
2023-01-08,Item C,24,480.0
2023-01-08,Item D,48,1200.0
2023-01-08,Item E,26,780.0
2023-01-09,Item A,1,10.0
2023-01-09,Item C,40,800.0
2023-01-09,Item D,8,200.0
2023-01-09,Item E,25,750.0
2023-01-10,Item C,10,200.0
2023-01-10,Item D,23,575.0
2023-01-10,Item E,5,150.0
2023-01-11,Item A,37,370.0
2023-01-11,Item B,29,435.0
2023-01-11,Item C,45,900.0
2023-01-11,Item D,3,75.0
2023-01-11,Item E,39,1170.0
2023-01-12,Item A,19,190.0
2023-01-12,Item B,37,555.0
2023-01-12,Item E,40,1200.0
2023-01-13,Item A,24,240.0
2023-01-13,Item B,11,165.0
2023-01-13,Item C,43,860.0
2023-01-13,Item D,33,825.0
2023-01-13,Item E,31,930.0
2023-01-14,Item A,34,340.0
2023-01-14,Item B,47,705.0
2023-01-14,Item E,8,240.0
2023-01-15,Item D,9,225.0
2023-01-15,Item E,33,990.0
2023-01-16,Item B,48,720.0
2023-01-16,Item C,9,180.0
2023-01-16,Item D,38,950.0
2023-01-16,Item E,44,1320.0
2023-01-17,Item A,30,300.0
2023-01-17,Item B,49,735.0
2023-01-17,Item C,32,640.0
2023-01-17,Item D,4,100.0
2023-01-17,Item E,14,420.0
2023-01-18,Item A,21,210.0
2023-01-18,Item D,28,700.0
2023-01-18,Item E,4,120.0
2023-01-19,Item A,24,240.0
2023-01-19,Item B,34,510.0
2023-01-19,Item C,8,160.0
2023-01-19,Item D,31,775.0
2023-01-19,Item E,44,1320.0
2023-01-20,Item A,26,260.0
2023-01-20,Item B,42,630.0
2023-01-20,Item C,39,780.0
2023-01-20,Item E,32,960.0
2023-01-21,Item C,21,420.0
2023-01-21,Item D,49,1225.0
2023-01-21,Item E,36,1080.0
2023-01-22,Item B,8,120.0
2023-01-22,Item C,34,680.0
2023-01-22,Item E,31,930.0
2023-01-23,Item A,14,140.0
2023-01-23,Item B,21,315.0
2023-01-23,Item C,21,420.0
2023-01-23,Item D,12,300.0
2023-01-23,Item E,28,840.0
2023-01-24,Item A,13,130.0
2023-01-24,Item B,20,300.0
2023-01-24,Item D,3,75.0
2023-01-25,Item B,29,435.0
2023-01-25,Item C,38,760.0
2023-01-26,Item B,16,240.0
2023-01-26,Item C,36,720.0
2023-01-26,Item D,32,800.0
2023-01-26,Item E,24,720.0
2023-01-27,Item B,17,255.0
2023-01-27,Item C,14,280.0
2023-01-27,Item E,18,540.0
2023-01-28,Item A,5,50.0
2023-01-28,Item B,14,210.0
2023-01-28,Item D,31,775.0
2023-01-28,Item E,45,1350.0
2023-01-29,Item A,18,180.0
2023-01-29,Item B,19,285.0
2023-01-29,Item C,44,880.0
2023-01-29,Item D,45,1125.0
2023-01-29,Item E,8,240.0
2023-01-30,Item A,29,290.0
2023-01-30,Item B,29,435.0
2023-01-30,Item C,39,780.0
2023-01-30,Item D,25,625.0
2023-01-31,Item A,12,120.0
2023-01-31,Item B,16,240.0
2023-01-31,Item C,1,20.0
2023-01-31,Item D,45,1125.0
2023-01-31,Item E,18,540.0
2023-02-01,Item D,19,475.0
2023-02-01,Item E,37,1110.0
2023-02-02,Item C,3,60.0
2023-02-02,Item E,5,150.0
2023-02-03,Item A,4,40.0
2023-02-03,Item B,34,510.0
2023-02-03,Item C,5,100.0
2023-02-03,Item D,32,800.0
2023-02-03,Item E,7,210.0
2023-02-04,Item B,38,570.0
2023-02-04,Item C,33,660.0
2023-02-04,Item D,39,975.0
2023-02-05,Item A,25,250.0
2023-02-05,Item C,35,700.0
2023-02-05,Item D,22,550.0
2023-02-06,Item A,3,30.0
2023-02-06,Item B,10,150.0
2023-02-06,Item D,4,100.0
2023-02-07,Item A,19,190.0
2023-02-07,Item B,17,255.0
2023-02-07,Item C,14,280.0
2023-02-07,Item D,38,950.0
2023-02-07,Item E,34,1020.0
2023-02-08,Item A,45,450.0
2023-02-08,Item B,13,195.0
2023-02-08,Item D,29,725.0
2023-02-09,Item A,40,400.0
2023-02-09,Item D,33,825.0
2023-02-10,Item A,45,450.0
2023-02-10,Item D,34,850.0
2023-02-11,Item C,50,1000.0
2023-02-11,Item D,39,975.0
2023-02-12,Item A,41,410.0
2023-02-12,Item D,33,825.0
2023-02-13,Item A,14,140.0
2023-02-13,Item B,25,375.0
2023-02-13,Item C,24,480.0
2023-02-13,Item D,28,700.0
2023-02-14,Item B,23,345.0
2023-02-14,Item C,22,440.0
2023-02-14,Item E,50,1500.0
2023-02-15,Item A,42,420.0
2023-02-15,Item B,29,435.0
2023-02-15,Item D,14,350.0
2023-02-15,Item E,26,780.0
2023-02-16,Item A,1,10.0
2023-02-16,Item D,40,1000.0
2023-02-16,Item E,38,1140.0
2023-02-17,Item B,44,660.0
2023-02-17,Item C,12,240.0
2023-02-17,Item D,22,550.0
2023-02-17,Item E,47,1410.0
2023-02-18,Item A,32,320.0
2023-02-18,Item B,40,600.0
2023-02-18,Item D,47,1175.0
2023-02-18,Item E,9,270.0
2023-02-19,Item B,33,495.0
2023-02-19,Item C,35,700.0
2023-02-19,Item D,7,175.0
2023-02-20,Item A,45,450.0
2023-02-20,Item C,29,580.0
2023-02-20,Item E,8,240.0
2023-02-21,Item A,20,200.0
2023-02-21,Item C,20,400.0
2023-02-21,Item D,12,300.0
2023-02-21,Item E,5,150.0
2023-02-22,Item A,28,280.0
2023-02-22,Item B,12,180.0
2023-02-22,Item C,48,960.0
2023-02-22,Item D,48,1200.0
2023-02-22,Item E,13,390.0
2023-02-23,Item A,28,280.0
2023-02-23,Item C,25,500.0
2023-02-24,Item A,37,370.0
2023-02-24,Item D,14,350.0
2023-02-25,Item A,20,200.0
2023-02-25,Item C,48,960.0
2023-02-25,Item D,38,950.0
2023-02-26,Item A,38,380.0
2023-02-26,Item D,11,275.0
2023-02-26,Item E,11,330.0
2023-02-27,Item A,43,430.0
2023-02-27,Item B,21,315.0
2023-02-28,Item A,48,480.0
2023-02-28,Item B,1,15.0
2023-02-28,Item D,14,350.0
2023-02-28,Item E,13,390.0
2023-03-01,Item A,40,400.0
2023-03-01,Item C,45,900.0
2023-03-01,Item D,26,650.0
2023-03-01,Item E,11,330.0
2023-03-02,Item A,49,490.0
2023-03-02,Item C,14,280.0
2023-03-02,Item E,17,510.0
2023-03-03,Item A,48,480.0
2023-03-03,Item B,39,585.0
2023-03-03,Item C,48,960.0
2023-03-03,Item D,7,175.0
2023-03-03,Item E,21,630.0
2023-03-04,Item B,22,330.0
2023-03-04,Item D,16,400.0
2023-03-05,Item A,17,170.0
2023-03-05,Item B,8,120.0
2023-03-05,Item C,48,960.0
2023-03-05,Item D,23,575.0
2023-03-05,Item E,21,630.0
2023-03-06,Item A,30,300.0
2023-03-06,Item C,28,560.0
2023-03-06,Item D,13,325.0
2023-03-06,Item E,26,780.0
2023-03-07,Item A,32,320.0
2023-03-07,Item B,18,270.0
2023-03-07,Item D,14,350.0
2023-03-08,Item A,22,220.0
2023-03-08,Item B,46,690.0
2023-03-08,Item E,26,780.0
2023-03-09,Item A,19,190.0
2023-03-09,Item B,18,270.0
2023-03-09,Item D,34,850.0
2023-03-09,Item E,36,1080.0
2023-03-10,Item B,35,525.0
2023-03-10,Item E,36,1080.0
2023-03-11,Item B,29,435.0
2023-03-11,Item C,31,620.0
2023-03-11,Item D,38,950.0
2023-03-11,Item E,27,810.0
2023-03-12,Item B,16,240.0
2023-03-12,Item C,49,980.0
2023-03-12,Item E,47,1410.0
2023-03-13,Item A,22,220.0
2023-03-13,Item B,10,150.0
2023-03-13,Item C,29,580.0
2023-03-13,Item D,28,700.0
2023-03-13,Item E,20,600.0
2023-03-14,Item A,7,70.0
2023-03-14,Item B,34,510.0
2023-03-14,Item E,33,990.0
2023-03-15,Item A,7,70.0
2023-03-15,Item D,6,150.0
2023-03-15,Item E,8,240.0
2023-03-16,Item B,20,300.0
2023-03-17,Item A,24,240.0
2023-03-17,Item B,41,615.0
2023-03-17,Item E,23,690.0
2023-03-18,Item A,17,170.0
2023-03-18,Item B,9,135.0
2023-03-18,Item C,3,60.0
2023-03-18,Item E,41,1230.0
2023-03-19,Item B,42,630.0
2023-03-19,Item C,38,760.0
2023-03-19,Item E,6,180.0
2023-03-20,Item A,45,450.0
2023-03-20,Item B,7,105.0
2023-03-20,Item C,28,560.0
2023-03-20,Item D,50,1250.0
2023-03-20,Item E,21,630.0
2023-03-21,Item A,18,180.0
2023-03-21,Item B,1,15.0
2023-03-21,Item E,49,1470.0
2023-03-22,Item A,8,80.0
2023-03-22,Item D,5,125.0
2023-03-22,Item E,1,30.0
2023-03-23,Item A,3,30.0
2023-03-23,Item C,22,440.0
2023-03-23,Item E,14,420.0
2023-03-24,Item B,22,330.0
2023-03-24,Item D,14,350.0
2023-03-24,Item E,35,1050.0
2023-03-25,Item A,49,490.0
2023-03-25,Item B,39,585.0
2023-03-25,Item C,45,900.0
2023-03-26,Item B,34,510.0
2023-03-26,Item C,27,540.0
2023-03-27,Item B,46,690.0
2023-03-27,Item C,48,960.0
2023-03-27,Item E,9,270.0
2023-03-28,Item B,16,240.0
2023-03-28,Item C,39,780.0
2023-03-28,Item D,7,175.0
2023-03-28,Item E,21,630.0
2023-03-29,Item A,46,460.0
2023-03-29,Item C,6,120.0
2023-03-30,Item A,37,370.0
2023-03-30,Item B,33,495.0
2023-03-30,Item C,39,780.0
2023-03-30,Item D,47,1175.0
2023-03-30,Item E,50,1500.0
2023-03-31,Item A,47,470.0
2023-03-31,Item B,7,105.0
2023-03-31,Item C,41,820.0
2023-03-31,Item D,16,400.0
2023-03-31,Item E,46,1380.0
2023-04-01,Item A,18,180.0
2023-04-01,Item C,16,320.0
2023-04-01,Item D,43,1075.0
2023-04-02,Item A,44,440.0
2023-04-02,Item B,1,15.0
2023-04-02,Item C,30,600.0
2023-04-02,Item D,22,550.0
2023-04-02,Item E,49,1470.0
